sent_id	gold_stem	gold_label	error_type	sentence	lemma	type_tag	shape	head	tail	hfst_analysis	insertion	insertion_tagged	insertion_type	detected_error	confidence_score	tokens_pos	head_token_idx	tail_token_idx	head_pos	tail_pos	pos_pattern	pos_validation
1	睡觉	True		昨天晚上我睡了一个好觉。	睡觉	Verb-Object	SPLIT	睡	觉	睡觉+Lemma+Verb-Object+SPLIT+Head:睡+Tail:觉	了ASPECT一NUM个CLF好MOD	了:ASPECT+一:NUM+个:CLF+好:MOD	ASPECT_QUANT		1.0	昨天/NT 晚上/NT 我/PN 睡/VV 了/AS 一个/CD 好/JJ 觉/NN 。/PU	3	7	VV	NN	separate_tokens	pos_valid
2	洗澡	True		运动完必须洗个热水澡。	洗澡	Verb-Object	SPLIT	洗	澡	洗澡+Lemma+Verb-Object+SPLIT+Head:洗+Tail:澡	个CLF热MOD水	个:CLF+热:MOD	QUANTIFIER		0.6666666666666666	运动完/VV 必须/VV 洗/VV 个/M 热水澡/NN 。/PU	2	4	VV	NN	separate_tokens	pos_valid
3	吃饭	True		如果你还没吃完饭，就等一会儿。	吃饭	Verb-Object	SPLIT	吃	饭	吃饭+Lemma+Verb-Object+SPLIT+Head:吃+Tail:饭	完RES	完:RES	RESULTATIVE		1.0	如果/CS 你/PN 还/AD 没/AD 吃完/VV 饭/NN ，/PU 就/AD 等/VV 一会儿/AD 。/PU	4	5	VV	NN	separate_tokens	pos_valid
4	刷牙	True		医生建议每天至少刷两分钟牙。	刷牙	Verb-Object	SPLIT	刷	牙	刷牙+Lemma+Verb-Object+SPLIT+Head:刷+Tail:牙	两NUM分TIME钟TIME	两:NUM+分:TIME+钟:TIME	UNKNOWN		1.0	医生/NN 建议/VV 每天/AD 至少/AD 刷/VV 两分钟/M 牙/NN 。/PU	4	6	VV	NN	separate_tokens	pos_valid
5	洗脸	True		早上匆匆忙忙洗了一把脸就出门了。	洗脸	Verb-Object	SPLIT	洗	脸	洗脸+Lemma+Verb-Object+SPLIT+Head:洗+Tail:脸	了ASPECT一NUM把CLF	了:ASPECT+一:NUM+把:CLF	ASPECT_QUANT		1.0	早上/NT 匆匆忙忙/AD 洗/VV 了/AS 一/CD 把/M 脸/NN 就/AD 出门/VV 了/AS 。/PU	2	6	VV	NN	separate_tokens	pos_valid
6	走路	True		我们走了很久的路。	走路	Verb-Object	SPLIT	走	路	走路+Lemma+Verb-Object+SPLIT+Head:走+Tail:路	了ASPECT很MOD久MOD的DE	了:ASPECT+很:MOD+久:MOD+的:DE	ASPECT		1.0	我们/PN 走/VV 了/AS 很/AD 久/VA 的/DEC 路/NN 。/PU	1	6	VV	NN	separate_tokens	pos_valid
7	跑步	True		他在公园里跑了一会儿步。	跑步	Verb-Object	SPLIT	跑	步	跑步+Lemma+Verb-Object+SPLIT+Head:跑+Tail:步	了ASPECT一NUM会TIME儿TIME	了:ASPECT+一:NUM+会:TIME+儿:TIME	ASPECT		1.0	他/PN 在/P 公园/NN 里/LC 跑/VV 了/AS 一会儿/CD 步/NN 。/PU	4	7	VV	NN	separate_tokens	pos_valid
8	散步	True		晚饭后我们去河边散散步。	散步	Verb-Object	REDUP	散	步	散步+Lemma+Verb-Object+REDUP+Head:散+Tail:步			REDUP_SKIP		1.0	晚饭/NN 后/LC 我们/PN 去/VV 河/NN 边/LC 散散步/VV 。/PU	6	6	VV	VV	same_token	pos_valid
9	上网	True		为了查资料，我上了两个小时网。	上网	Verb-Object	SPLIT	上	网	上网+Lemma+Verb-Object+SPLIT+Head:上+Tail:网	了ASPECT两NUM个CLF小MOD时TIME	了:ASPECT+两:NUM+个:CLF+小:MOD+时:TIME	ASPECT_QUANT		1.0	为了/P 查/VV 资料/NN ，/PU 我/PN 上/VV 了/AS 两个小时/NN 网/NN 。/PU	5	8	VV	NN	separate_tokens	pos_valid
10	理发	True		过年前要去理一次发。	理发	Verb-Object	SPLIT	理	发	理发+Lemma+Verb-Object+SPLIT+Head:理+Tail:发	一NUM次CLF	一:NUM+次:CLF	QUANTIFIER		1.0	过年/VV 前/LC 要/VV 去/VV 理/VV 一次/AD 发/VV 。/PU	4	6	VV	VV	separate_tokens	pos_valid
11	搬家	True		这几年北漂搬了三次家。	搬家	Verb-Object	SPLIT	搬	家	搬家+Lemma+Verb-Object+SPLIT+Head:搬+Tail:家	了ASPECT三NUM次CLF	了:ASPECT+三:NUM+次:CLF	ASPECT_QUANT		1.0	这/DT 几年/NT 北漂/NN 搬/VV 了/AS 三次/NR 家/NN 。/PU	3	6	VV	NN	separate_tokens	pos_valid
12	起床	True		他难受得起不来床。	起床	Verb-Object	SPLIT	起	床	起床+Lemma+Verb-Object+SPLIT+Head:起+Tail:床	不RES来	不:RES	RESULTATIVE		0.5	他/PN 难受/VA 得/DER 起/VV 不/AD 来/VV 床/NN 。/PU	3	6	VV	NN	separate_tokens	pos_valid
13	看书	True		他在图书馆安静地看了半天书。	看书	Verb-Object	SPLIT	看	书	看书+Lemma+Verb-Object+SPLIT+Head:看+Tail:书	了ASPECT半NUM天CLF	了:ASPECT+半:NUM+天:CLF	ASPECT_QUANT		1.0	他/PN 在/P 图书馆/NN 安静/VA 地/DEV 看/VV 了/AS 半天/AD 书/NN 。/PU	5	8	VV	NN	separate_tokens	pos_valid
14	写字	True		练习了十年，终于写了一手好字。	写字	Verb-Object	SPLIT	写	字	写字+Lemma+Verb-Object+SPLIT+Head:写+Tail:字	了ASPECT一NUM手CLF好MOD	了:ASPECT+一:NUM+手:CLF+好:MOD	ASPECT_QUANT		1.0	练习/VV 了/AS 十年/NT ，/PU 终于/AD 写/VV 了/AS 一手/NN 好字/NN 。/PU	5	8	VV	NN	separate_tokens	pos_valid
15	开门	True		你快去开一下门。	开门	Verb-Object	SPLIT	开	门	开门+Lemma+Verb-Object+SPLIT+Head:开+Tail:门	一NUM下CLF	一:NUM+下:CLF	QUANTIFIER		1.0	你/PN 快/AD 去/VV 开/VV 一下/AD 门/NN 。/PU	3	5	VV	NN	separate_tokens	pos_valid
16	敲门	True		他敲了半天门。	敲门	Verb-Object	SPLIT	敲	门	敲门+Lemma+Verb-Object+SPLIT+Head:敲+Tail:门	了ASPECT半NUM天CLF	了:ASPECT+半:NUM+天:CLF	ASPECT_QUANT		1.0	他/PN 敲/VV 了/AS 半天/AD 门/NN 。/PU	1	4	VV	NN	separate_tokens	pos_valid
17	关灯	True		记得关了灯再睡。	关灯	Verb-Object	SPLIT	关	灯	关灯+Lemma+Verb-Object+SPLIT+Head:关+Tail:灯	了ASPECT	了:ASPECT	ASPECT		1.0	记得/VV 关/VV 了/AS 灯/NN 再/AD 睡/VV 。/PU	1	3	VV	NN	separate_tokens	pos_valid
18	睡觉	True		太累了，他睡了一个好觉。	睡觉	Verb-Object	SPLIT	睡	觉	睡觉+Lemma+Verb-Object+SPLIT+Head:睡+Tail:觉	了ASPECT一NUM个CLF好MOD	了:ASPECT+一:NUM+个:CLF+好:MOD	ASPECT_QUANT		1.0	太/AD 累/VA 了/AS ，/PU 他/PN 睡/VV 了/AS 一个/CD 好/JJ 觉/NN 。/PU	5	9	VV	NN	separate_tokens	pos_valid
19	做饭	True		今天妈妈做了一顿丰盛的晚饭。	做饭	Verb-Object	SPLIT	做	饭	做饭+Lemma+Verb-Object+SPLIT+Head:做+Tail:饭	了ASPECT一NUM顿CLF丰MOD盛MOD的DE晚	了:ASPECT+一:NUM+顿:CLF+丰:MOD+盛:MOD+的:DE	ASPECT_QUANT		0.8571428571428571	今天/NT 妈妈/NN 做/VV 了/AS 一/CD 顿/M 丰盛/JJ 的/DEG 晚饭/NN 。/PU	2	8	VV	NN	separate_tokens	pos_valid
20	打球	True		周末约朋友去打了一场球。	打球	Verb-Object	SPLIT	打	球	打球+Lemma+Verb-Object+SPLIT+Head:打+Tail:球	了ASPECT一NUM场CLF	了:ASPECT+一:NUM+场:CLF	ASPECT_QUANT		1.0	周末/NT 约/VV 朋友/NN 去/VV 打/VV 了/AS 一/CD 场/M 球/NN 。/PU	4	8	VV	NN	separate_tokens	pos_valid
21	抽烟	True		压力大的时候他抽了一根烟。	抽烟	Verb-Object	SPLIT	抽	烟	抽烟+Lemma+Verb-Object+SPLIT+Head:抽+Tail:烟	了ASPECT一NUM根CLF	了:ASPECT+一:NUM+根:CLF	ASPECT_QUANT		1.0	压力/NN 大/VA 的/DEC 时候/NN 他/PN 抽/VV 了/AS 一/CD 根/M 烟/NN 。/PU	5	9	VV	NN	separate_tokens	pos_valid
22	见面	True		我们虽然同城，但也只见过一面。	见面	Verb-Object	SPLIT	见	面	见面+Lemma+Verb-Object+SPLIT+Head:见+Tail:面	过ASPECT一NUM	过:ASPECT+一:NUM	ASPECT		1.0	我们/PN 虽然/CS 同城/VV ，/PU 但/AD 也/AD 只/AD 见/VV 过/AS 一面/NN 。/PU	7	9	VV	NN	separate_tokens	pos_valid
23	帮忙	True		你真是帮了我一个大忙。	帮忙	Verb-Object	SPLIT	帮	忙	帮忙+Lemma+Verb-Object+SPLIT+Head:帮+Tail:忙	了ASPECT我PRO一NUM个CLF大MOD	了:ASPECT+我:PRO+一:NUM+个:CLF+大:MOD	ASPECT_QUANT		1.0	你/PN 真是/AD 帮/VV 了/AS 我/PN 一个/CD 大忙/NN 。/PU	2	6	VV	NN	separate_tokens	pos_valid
24	聊天	True		和老朋友聊了一整天。	聊天	Verb-Object	SPLIT	聊	天	聊天+Lemma+Verb-Object+SPLIT+Head:聊+Tail:天	了ASPECT一NUM整MOD	了:ASPECT+一:NUM+整:MOD	ASPECT		1.0	和/P 老朋友/NN 聊/VV 了/AS 一整天/NN 。/PU	2	4	VV	NN	separate_tokens	pos_valid
25	说话	True		请你帮我说两句好话。	说话	Verb-Object	SPLIT	说	话	说话+Lemma+Verb-Object+SPLIT+Head:说+Tail:话	两NUM句CLF好MOD	两:NUM+句:CLF+好:MOD	QUANTIFIER		1.0	请/VV 你/PN 帮/VV 我/PN 说/VV 两句/CD 好话/NN 。/PU	4	6	VV	NN	separate_tokens	pos_valid
26	吵架	True		因为一点小事，他们吵了一架。	吵架	Verb-Object	SPLIT	吵	架	吵架+Lemma+Verb-Object+SPLIT+Head:吵+Tail:架	了ASPECT一NUM	了:ASPECT+一:NUM	ASPECT		1.0	因为/P 一点/CD 小事/NN ，/PU 他们/PN 吵/VV 了/AS 一/CD 架/NN 。/PU	5	8	VV	NN	separate_tokens	pos_valid
27	打架	True		两只猫在屋顶上打了一架。	打架	Verb-Object	SPLIT	打	架	打架+Lemma+Verb-Object+SPLIT+Head:打+Tail:架	了ASPECT一NUM	了:ASPECT+一:NUM	ASPECT		1.0	两只/CD 猫/NN 在/P 屋顶/NN 上/LC 打/VV 了/AS 一/CD 架/NN 。/PU	5	8	VV	NN	separate_tokens	pos_valid
28	打仗	True		俄罗斯和乌克兰还要打多久的仗呢？	打仗	Verb-Object	SPLIT	打	仗	打仗+Lemma+Verb-Object+SPLIT+Head:打+Tail:仗	多MOD久MOD的DE	多:MOD+久:MOD+的:DE	MODIFIER_DE		1.0	俄罗斯/NR 和/CC 乌克兰/NR 还要/AD 打/VV 多久/PN 的/DEG 仗/NN 呢/SP ？/PU	4	7	VV	NN	separate_tokens	pos_valid
29	生气	True		别再生他的气了。	生气	Verb-Object	SPLIT	生	气	生气+Lemma+Verb-Object+SPLIT+Head:生+Tail:气	他PRO的DE	他:PRO+的:DE	PRONOUN_DE		1.0	别/AD 再生/VV 他/PN 的/DEG 气/NN 了/SP 。/PU	1	4	VV	NN	separate_tokens	pos_valid
30	发火	True		领导在会上发了一通火。	发火	Verb-Object	SPLIT	发	火	发火+Lemma+Verb-Object+SPLIT+Head:发+Tail:火	了ASPECT一NUM通CLF	了:ASPECT+一:NUM+通:CLF	ASPECT_QUANT		1.0	领导/NN 在/P 会上/NN 发/VV 了/AS 一/CD 通/M 火/NN 。/PU	3	7	VV	NN	separate_tokens	pos_valid
31	道歉	True		做错事就该给人家道一个歉。	道歉	Verb-Object	SPLIT	道	歉	道歉+Lemma+Verb-Object+SPLIT+Head:道+Tail:歉	一NUM个CLF	一:NUM+个:CLF	QUANTIFIER		1.0	做错事/VV 就/AD 该/VV 给/P 人家/PN 道/VV 一个/CD 歉/NN 。/PU	5	7	VV	NN	separate_tokens	pos_valid
32	道谢	True		临走时，他特意向主人道了一声谢。	道谢	Verb-Object	SPLIT	道	谢	道谢+Lemma+Verb-Object+SPLIT+Head:道+Tail:谢	了ASPECT一NUM声CLF	了:ASPECT+一:NUM+声:CLF	ASPECT_QUANT		1.0	临走/VV 时/LC ，/PU 他/PN 特意/AD 向/P 主人/NN 道/VV 了/AS 一/CD 声/M 谢/NN 。/PU	7	11	VV	NN	separate_tokens	pos_valid
33	拜年	True		大年初一去给长辈拜个年。	拜年	Verb-Object	SPLIT	拜	年	拜年+Lemma+Verb-Object+SPLIT+Head:拜+Tail:年	个CLF	个:CLF	QUANTIFIER		1.0	大年初一/NT 去/VV 给/P 长辈/NN 拜/VV 个/M 年/NN 。/PU	4	6	VV	NN	separate_tokens	pos_valid
34	握手	True		大家互相握了一下手。	握手	Verb-Object	SPLIT	握	手	握手+Lemma+Verb-Object+SPLIT+Head:握+Tail:手	了ASPECT一NUM下CLF	了:ASPECT+一:NUM+下:CLF	ASPECT_QUANT		1.0	大家/PN 互相/AD 握/VV 了/AS 一下/AD 手/NN 。/PU	2	5	VV	NN	separate_tokens	pos_valid
35	捣乱	True		别在他工作的时候捣他的乱。	捣乱	Verb-Object	SPLIT	捣	乱	捣乱+Lemma+Verb-Object+SPLIT+Head:捣+Tail:乱	他PRO的DE	他:PRO+的:DE	PRONOUN_DE		1.0	别/AD 在/P 他/PN 工作/VV 的/DEC 时候/NN 捣/VV 他/PN 的/DEG 乱/NN 。/PU	6	9	VV	NN	separate_tokens	pos_valid
