case_id	gold_stem	gold_label	lemma	type_tag	shape	is_redup	category	is_valid	status	sentence	tokens_with_pos	head_desc	tail_desc	pattern_desc	insertion_desc	pattern_type	reason
1	睡觉	True	睡觉	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	昨天晚上我睡了一个好觉。	昨天/NT 晚上/NT 我/PN 睡/VV 了/AS 一个/CD 好/JJ 觉/NN 。/PU	睡/VV (token#4, lex_head=睡)	觉/NN (token#8, lex_tail=觉)	Pattern: 睡……觉 (two_tokens)	了/AS 一个/CD 好/JJ	two_tokens	split_two_tokens_V_then_N
2	洗澡	True	洗澡	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	运动完必须洗个热水澡。	运动完/VV 必须/VV 洗/VV 个/M 热水澡/NN 。/PU	洗/VV (token#3, lex_head=洗)	热水澡/NN (token#5, lex_tail=澡)	Pattern: 洗……澡 (two_tokens)	个/M	two_tokens	split_two_tokens_V_then_N
3	吃饭	True	吃饭	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	如果你还没吃完饭，就等一会儿。	如果/CS 你/PN 还/AD 没/AD 吃完/VV 饭/NN ，/PU 就/AD 等/VV 一会儿/AD 。/PU	吃完/VV (token#5, lex_head=吃)	饭/NN (token#6, lex_tail=饭)	Pattern: 吃……饭 (two_tokens)	(no insertion tokens)	two_tokens	split_two_tokens_V_then_N
4	刷牙	True	刷牙	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	医生建议每天至少刷两分钟牙。	医生/NN 建议/VV 每天/AD 至少/AD 刷/VV 两分钟/M 牙/NN 。/PU	刷/VV (token#5, lex_head=刷)	牙/NN (token#7, lex_tail=牙)	Pattern: 刷……牙 (two_tokens)	两分钟/M	two_tokens	split_two_tokens_V_then_N
5	洗脸	True	洗脸	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	早上匆匆忙忙洗了一把脸就出门了。	早上/NT 匆匆忙忙/AD 洗/VV 了/AS 一/CD 把/M 脸/NN 就/AD 出门/VV 了/AS 。/PU	洗/VV (token#3, lex_head=洗)	脸/NN (token#7, lex_tail=脸)	Pattern: 洗……脸 (two_tokens)	了/AS 一/CD 把/M	two_tokens	split_two_tokens_V_then_N
6	走路	True	走路	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	今天如果不通车，只能走着路去。	今天/NT 如果/CS 不/AD 通车/VV ，/PU 只能/AD 走/VV 着/AS 路/NN 去/VV 。/PU	走/VV (token#7, lex_head=走)	路/NN (token#9, lex_tail=路)	Pattern: 走……路 (two_tokens)	着/AS	two_tokens	split_two_tokens_V_then_N
7	跑步	True	跑步	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	他在公园里跑了一会儿步。	他/PN 在/P 公园/NN 里/LC 跑/VV 了/AS 一会儿/CD 步/NN 。/PU	跑/VV (token#5, lex_head=跑)	步/NN (token#8, lex_tail=步)	Pattern: 跑……步 (two_tokens)	了/AS 一会儿/CD	two_tokens	split_two_tokens_V_then_N
8	散步	True	散步	Verb-Object	SPLIT	True	REDUP	True	TP (hit target lemma)	晚饭后我们去河边散散步。	晚饭/NN 后/LC 我们/PN 去/VV 河/NN 边/LC 散散步/VV 。/PU	散散步/VV (token#7, lex_head=散)	散散步/VV (token#7, lex_tail=步)	Pattern: 散……步 (same_token)	(inside one token; not separated)	same_token	redup_from_hfst
9	上网	True	上网	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	为了查资料，我上了两个小时网。	为了/P 查/VV 资料/NN ，/PU 我/PN 上/VV 了/AS 两个小时/NN 网/NN 。/PU	上/VV (token#6, lex_head=上)	网/NN (token#9, lex_tail=网)	Pattern: 上……网 (two_tokens)	了/AS 两个小时/NN	two_tokens	split_two_tokens_V_then_N
10	理发	True	理发	Verb-Object	SPLIT	False	SPLIT	False	FN (missed target lemma)	过年前要去理一次发。	过年/VV 前/LC 要/VV 去/VV 理/VV 一次/AD 发/VV 。/PU	理/VV (token#5, lex_head=理)	发/VV (token#7, lex_tail=发)	Pattern: 理……发 (none)	一次/AD	none	split_candidates_all_failed_pos
11	搬家	True	搬家	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	这几年如果不搬三次家就不算北漂。	这/DT 几年/NT 如果/CS 不/AD 搬/VV 三次/AD 家/NN 就/AD 不/AD 算/VV 北漂/VV 。/PU	搬/VV (token#5, lex_head=搬)	家/NN (token#7, lex_tail=家)	Pattern: 搬……家 (two_tokens)	三次/AD	two_tokens	split_two_tokens_V_then_N
12	起床	True	生病	Verb-Object	WHOLE	False	WHOLE	True	FP (spurious lemma; gold target is 起床)	生病了，难受得起不了床。	生病/VV 了/AS ，/PU 难受/VA 得/DER 起/VV 不/AD 了/VV 床/NN 。/PU	生病/VV (token#1, lex_head=生)	生病/VV (token#1, lex_tail=病)	Pattern: 生……病 (none)	(inside one token; not separated)	none	pos_ok
