sent_id	gold_stem	gold_label	error_type	sentence	lemma	type_tag	shape	head	tail	hfst_analysis	insertion	insertion_tagged	insertion_type	detected_error	confidence_score	tokens_pos	head_token_idx	tail_token_idx	head_pos	tail_pos	pos_pattern	pos_validation
56	上课	True		今天上午上了两节课。	上课	Verb-Object	SPLIT	上	课	上课+Lemma+Verb-Object+SPLIT+Head:上+Tail:课	午上了ASPECT两NUM节	了:ASPECT+两:NUM	ASPECT		0.4	今天/NT 上午/NT 上/VV 了/AS 两节/NT 课/NN 。/PU	1	5	NT	NN	separate_tokens	head_pos_invalid:NT
150	洗澡	False	COINCIDENCE	她用洗衣机洗了好几澡盆的衣服。	洗澡	Verb-Object	SPLIT	洗	澡	洗澡+Lemma+Verb-Object+SPLIT+Head:洗+Tail:澡	衣机洗了ASPECT好MOD几NUM	了:ASPECT+好:MOD+几:NUM	ASPECT		0.5	她/PN 用/P 洗衣机/NN 洗/VV 了/AS 好几/CD 澡盆/NN 的/DEG 衣服/NN 。/PU	2	6	NN	NN	separate_tokens	head_pos_invalid:NN
158	理发	False	COINCIDENCE	经理发现了问题。	理发	Verb-Object	WHOLE	理	发	理发+Lemma+Verb-Object+WHOLE+Head:理+Tail:发			EMPTY		0.5	经理/NN 发现/VV 了/AS 问题/NN 。/PU	0	1	NN	VV	separate_tokens	head_pos_invalid:NN
159	搬家	False	COINCIDENCE	搬运工把家具都搬走了。	搬家	Verb-Object	SPLIT	搬	家	搬家+Lemma+Verb-Object+SPLIT+Head:搬+Tail:家	运工把CLF	把:CLF	QUANTIFIER		0.3333333333333333	搬运工/NN 把/BA 家具/NN 都/AD 搬走/VV 了/SP 。/PU	0	2	NN	NN	separate_tokens	head_pos_invalid:NN
169	帮忙	False	COINCIDENCE	丐帮的人都很忙。	帮忙	Verb-Object	SPLIT	帮	忙	帮忙+Lemma+Verb-Object+SPLIT+Head:帮+Tail:忙	的DE人都很MOD	的:DE+很:MOD	MODIFIER_DE		0.5	丐帮/NN 的/DEC 人/NN 都/AD 很/AD 忙/VA 。/PU	0	5	NN	VA	separate_tokens	head_pos_invalid:NN
203	上课	False	COINCIDENCE	桌上放着课本。	上课	Verb-Object	SPLIT	上	课	上课+Lemma+Verb-Object+SPLIT+Head:上+Tail:课	放着ASPECT	着:ASPECT	ASPECT		0.5	桌/NN 上/LC 放/VV 着/AS 课本/NN 。/PU	1	4	LC	NN	separate_tokens	head_pos_invalid:LC
209	报名	False	COINCIDENCE	报纸上有他的名字。	报名	Verb-Object	SPLIT	报	名	报名+Lemma+Verb-Object+SPLIT+Head:报+Tail:名	纸上有他PRO的DE	他:PRO+的:DE	PRONOUN_DE		0.4	报纸/NN 上/LC 有/VE 他/PN 的/DEG 名字/NN 。/PU	0	5	NN	NN	separate_tokens	head_pos_invalid:NN
235	打工	False	COINCIDENCE	你为什么打工地上的人？	打工	Verb-Object	WHOLE	打	工	打工+Lemma+Verb-Object+WHOLE+Head:打+Tail:工			EMPTY		0.5	你/PN 为什么/AD 打工地上/NN 的/DEG 人/NN ？/PU	2	2	NN	NN	same_token	head_pos_invalid:NN
256	把关	False	COINCIDENCE	他一把把门关上了。	把关	Verb-Object	SPLIT	把	关	把关+Lemma+Verb-Object+SPLIT+Head:把+Tail:关	把CLF门	把:CLF	QUANTIFIER		0.5	他/PN 一/CD 把/M 把/BA 门/NN 关上/VV 了/AS 。/PU	2	5	M	VV	separate_tokens	head_pos_invalid:M
266	小便	False	CROSS_CONST	贪小便宜吃大亏。	小便	Modifier-Head	WHOLE	小	便	小便+Lemma+Modifier-Head+WHOLE+Head:小+Tail:便			EMPTY		0.5	贪/VV 小便宜/NN 吃/VV 大/JJ 亏/NN 。/PU	1	1	NN	NN	same_token	head_pos_invalid:NN
