sent_id	gold_stem	gold_label	error_type	sentence	lemma	type_tag	shape	head	tail	hfst_analysis
1	睡觉	True		昨天晚上我睡了一个好觉。	睡觉	Verb-Object	SPLIT	睡	觉	睡觉+Lemma+Verb-Object+SPLIT+Head:睡+Tail:觉
2	洗澡	True		运动完必须洗个热水澡。	洗澡	Verb-Object	SPLIT	洗	澡	洗澡+Lemma+Verb-Object+SPLIT+Head:洗+Tail:澡
3	吃饭	True		如果你还没吃完饭，就等一会儿。	吃饭	Verb-Object	SPLIT	吃	饭	吃饭+Lemma+Verb-Object+SPLIT+Head:吃+Tail:饭
4	刷牙	True		医生建议每天至少刷两分钟牙。	刷牙	Verb-Object	SPLIT	刷	牙	刷牙+Lemma+Verb-Object+SPLIT+Head:刷+Tail:牙
5	洗脸	True		早上匆匆忙忙洗了一把脸就出门了。	洗脸	Verb-Object	SPLIT	洗	脸	洗脸+Lemma+Verb-Object+SPLIT+Head:洗+Tail:脸
6	走路	True		我们走了很久的路。	走路	Verb-Object	SPLIT	走	路	走路+Lemma+Verb-Object+SPLIT+Head:走+Tail:路
7	跑步	True		他在公园里跑了一会儿步。	跑步	Verb-Object	SPLIT	跑	步	跑步+Lemma+Verb-Object+SPLIT+Head:跑+Tail:步
8	散步	True		晚饭后我们去河边散散步。	散步	Verb-Object	REDUP	散	步	散步+Lemma+Verb-Object+REDUP+Head:散+Tail:步
9	上网	True		为了查资料，我上了两个小时网。	上网	Verb-Object	SPLIT	上	网	上网+Lemma+Verb-Object+SPLIT+Head:上+Tail:网
10	理发	True		过年前要去理一次发。	理发	Verb-Object	SPLIT	理	发	理发+Lemma+Verb-Object+SPLIT+Head:理+Tail:发
11	搬家	True		这几年北漂搬了三次家。	搬家	Verb-Object	SPLIT	搬	家	搬家+Lemma+Verb-Object+SPLIT+Head:搬+Tail:家
12	起床	True		他难受得起不来床。	起床	Verb-Object	SPLIT	起	床	起床+Lemma+Verb-Object+SPLIT+Head:起+Tail:床
13	看书	True		他在图书馆安静地看了半天书。	看书	Verb-Object	SPLIT	看	书	看书+Lemma+Verb-Object+SPLIT+Head:看+Tail:书
14	写字	True		练习了十年，终于写了一手好字。	写字	Verb-Object	SPLIT	写	字	写字+Lemma+Verb-Object+SPLIT+Head:写+Tail:字
15	开门	True		你快去开一下门。	开门	Verb-Object	SPLIT	开	门	开门+Lemma+Verb-Object+SPLIT+Head:开+Tail:门
16	敲门	True		他敲了半天门。	敲门	Verb-Object	SPLIT	敲	门	敲门+Lemma+Verb-Object+SPLIT+Head:敲+Tail:门
17	关灯	True		记得关了灯再睡。	关灯	Verb-Object	SPLIT	关	灯	关灯+Lemma+Verb-Object+SPLIT+Head:关+Tail:灯
18	睡觉	True		太累了，他睡了一个好觉。	睡觉	Verb-Object	SPLIT	睡	觉	睡觉+Lemma+Verb-Object+SPLIT+Head:睡+Tail:觉
19	做饭	True		今天妈妈做了一顿丰盛的晚饭。	做饭	Verb-Object	SPLIT	做	饭	做饭+Lemma+Verb-Object+SPLIT+Head:做+Tail:饭
20	打球	True		周末约朋友去打了一场球。	打球	Verb-Object	SPLIT	打	球	打球+Lemma+Verb-Object+SPLIT+Head:打+Tail:球
21	抽烟	True		压力大的时候他抽了一根烟。	抽烟	Verb-Object	SPLIT	抽	烟	抽烟+Lemma+Verb-Object+SPLIT+Head:抽+Tail:烟
22	见面	True		我们虽然同城，但也只见过一面。	见面	Verb-Object	SPLIT	见	面	见面+Lemma+Verb-Object+SPLIT+Head:见+Tail:面
23	帮忙	True		你真是帮了我一个大忙。	帮忙	Verb-Object	SPLIT	帮	忙	帮忙+Lemma+Verb-Object+SPLIT+Head:帮+Tail:忙
24	聊天	True		和老朋友聊了一整天。	聊天	Verb-Object	SPLIT	聊	天	聊天+Lemma+Verb-Object+SPLIT+Head:聊+Tail:天
25	说话	True		请你帮我说两句好话。	说话	Verb-Object	SPLIT	说	话	说话+Lemma+Verb-Object+SPLIT+Head:说+Tail:话
26	吵架	True		因为一点小事，他们吵了一架。	吵架	Verb-Object	SPLIT	吵	架	吵架+Lemma+Verb-Object+SPLIT+Head:吵+Tail:架
27	打架	True		两只猫在屋顶上打了一架。	打架	Verb-Object	SPLIT	打	架	打架+Lemma+Verb-Object+SPLIT+Head:打+Tail:架
28	打仗	True		俄罗斯和乌克兰还要打多久的仗呢？	打仗	Verb-Object	SPLIT	打	仗	打仗+Lemma+Verb-Object+SPLIT+Head:打+Tail:仗
29	生气	True		别再生他的气了。	生气	Verb-Object	SPLIT	生	气	生气+Lemma+Verb-Object+SPLIT+Head:生+Tail:气
30	发火	True		领导在会上发了一通火。	发火	Verb-Object	SPLIT	发	火	发火+Lemma+Verb-Object+SPLIT+Head:发+Tail:火
31	道歉	True		做错事就该给人家道一个歉。	道歉	Verb-Object	SPLIT	道	歉	道歉+Lemma+Verb-Object+SPLIT+Head:道+Tail:歉
32	道谢	True		临走时，他特意向主人道了一声谢。	道谢	Verb-Object	SPLIT	道	谢	道谢+Lemma+Verb-Object+SPLIT+Head:道+Tail:谢
