case_id	gold_stem	gold_label	lemma	type_tag	shape	is_redup	sentence	tokens	pos_tags	category	is_valid	pattern_type	head_token_indices	tail_token_indices	reason
1	睡觉	True	睡觉	Verb-Object	SPLIT	False	昨天晚上我睡了一个好觉。	昨天 晚上 我 睡 了 一个 好 觉 。	NT NT PN VV AS CD JJ NN PU	SPLIT	True	two_tokens	3	7	split_two_tokens_V_then_N
2	洗澡	True	洗澡	Verb-Object	SPLIT	False	运动完必须洗个热水澡。	运动完 必须 洗 个 热水澡 。	VV VV VV M NN PU	SPLIT	True	two_tokens	2	4	split_two_tokens_V_then_N
3	吃饭	True	吃饭	Verb-Object	SPLIT	False	如果你还没吃完饭，就等一会儿。	如果 你 还 没 吃完 饭 ， 就 等 一会儿 。	CS PN AD AD VV NN PU AD VV AD PU	SPLIT	True	two_tokens	4	5	split_two_tokens_V_then_N
4	刷牙	True	刷牙	Verb-Object	SPLIT	False	医生建议每天至少刷两分钟牙。	医生 建议 每天 至少 刷 两分钟 牙 。	NN VV AD AD VV M NN PU	SPLIT	True	two_tokens	4	6	split_two_tokens_V_then_N
5	洗脸	True	洗脸	Verb-Object	SPLIT	False	早上匆匆忙忙洗了一把脸就出门了。	早上 匆匆忙忙 洗 了 一 把 脸 就 出门 了 。	NT AD VV AS CD M NN AD VV AS PU	SPLIT	True	two_tokens	2	6	split_two_tokens_V_then_N
6	走路	True	走路	Verb-Object	SPLIT	False	今天如果不通车，只能走着路去。	今天 如果 不 通车 ， 只能 走 着 路 去 。	NT CS AD VV PU AD VV AS NN VV PU	SPLIT	True	two_tokens	6	8	split_two_tokens_V_then_N
7	跑步	True	跑步	Verb-Object	SPLIT	False	他在公园里跑了一会儿步。	他 在 公园 里 跑 了 一会儿 步 。	PN P NN LC VV AS CD NN PU	SPLIT	True	two_tokens	4	7	split_two_tokens_V_then_N
8	散步	True	散步	Verb-Object	SPLIT	True	晚饭后我们去河边散散步。	晚饭 后 我们 去 河 边 散散步 。	NN LC PN VV NN LC VV PU	REDUP	True	same_token	6	6	redup_from_hfst
9	上网	True	上网	Verb-Object	SPLIT	False	为了查资料，我上了两个小时网。	为了 查 资料 ， 我 上 了 两个小时 网 。	P VV NN PU PN VV AS NN NN PU	SPLIT	True	two_tokens	5	8	split_two_tokens_V_then_N
10	理发	True	理发	Verb-Object	SPLIT	False	过年前要去理一次发。	过年 前 要 去 理 一次 发 。	VV LC VV VV VV AD VV PU	SPLIT	False	none	4	6	split_candidates_all_failed_pos
