sent_id	gold_stem	gold_label	error_type	sentence	lemma	type_tag	shape	is_redup	raw_analysis
1	睡觉	True		昨天晚上我睡了一个好觉。	睡觉	Verb-Object	SPLIT	False	睡觉+Lemma+Verb-Object+SPLIT
2	洗澡	True		运动完必须洗个热水澡。	洗澡	Verb-Object	SPLIT	False	洗澡+Lemma+Verb-Object+SPLIT
3	吃饭	True		如果你还没吃完饭，就等一会儿。	吃饭	Verb-Object	SPLIT	False	吃饭+Lemma+Verb-Object+SPLIT
4	刷牙	True		医生建议每天至少刷两分钟牙。	刷牙	Verb-Object	SPLIT	False	刷牙+Lemma+Verb-Object+SPLIT
5	洗脸	True		早上匆匆忙忙洗了一把脸就出门了。	洗脸	Verb-Object	SPLIT	False	洗脸+Lemma+Verb-Object+SPLIT
6	走路	True		我们走了很久的路。	走路	Verb-Object	SPLIT	False	走路+Lemma+Verb-Object+SPLIT
7	跑步	True		他在公园里跑了一会儿步。	跑步	Verb-Object	SPLIT	False	跑步+Lemma+Verb-Object+SPLIT
8	散步	True		晚饭后我们去河边散散步。	散步	Verb-Object	REDUP	True	散步+Lemma+Verb-Object+SPLIT
9	上网	True		为了查资料，我上了两个小时网。	上网	Verb-Object	SPLIT	False	上网+Lemma+Verb-Object+SPLIT
10	理发	True		过年前要去理一次发。	理发	Verb-Object	SPLIT	False	理发+Lemma+Verb-Object+SPLIT
11	搬家	True		这几年北漂搬了三次家。	搬家	Verb-Object	SPLIT	False	搬家+Lemma+Verb-Object+SPLIT
12	起床	True		生病了，难受得起不来床。	生病	Verb-Object	WHOLE	False	生病+Lemma+Verb-Object+WHOLE
12	起床	True		生病了，难受得起不来床。	起床	Verb-Object	SPLIT	False	起床+Lemma+Verb-Object+SPLIT
13	看书	True		他在图书馆安静地看了半天书。	看书	Verb-Object	SPLIT	False	看书+Lemma+Verb-Object+SPLIT
14	写字	True		练习了十年，终于写了一手好字。	写字	Verb-Object	SPLIT	False	写字+Lemma+Verb-Object+SPLIT
15	开门	True		他敲了半天门，快去开一下门。	开门	Verb-Object	SPLIT	False	开门+Lemma+Verb-Object+SPLIT
15	开门	True		他敲了半天门，快去开一下门。	敲门	Verb-Object	SPLIT	False	敲门+Lemma+Verb-Object+SPLIT
16	关灯	True		记得关了灯再睡觉。	关灯	Verb-Object	SPLIT	False	关灯+Lemma+Verb-Object+SPLIT
16	关灯	True		记得关了灯再睡觉。	睡觉	Verb-Object	WHOLE	False	睡觉+Lemma+Verb-Object+WHOLE
17	做饭	True		今天妈妈做了一顿丰盛的晚饭。	做饭	Verb-Object	SPLIT	False	做饭+Lemma+Verb-Object+SPLIT
18	打球	True		周末约朋友去打了一场球。	打球	Verb-Object	SPLIT	False	打球+Lemma+Verb-Object+SPLIT
19	抽烟	True		压力大的时候他抽了一根烟。	抽烟	Verb-Object	SPLIT	False	抽烟+Lemma+Verb-Object+SPLIT
20	见面	True		我们虽然同城，但也只见过一面。	见面	Verb-Object	SPLIT	False	见面+Lemma+Verb-Object+SPLIT
21	帮忙	True		你真是帮了我一个大忙。	帮忙	Verb-Object	SPLIT	False	帮忙+Lemma+Verb-Object+SPLIT
22	聊天	True		和老朋友见面，聊了一整天。	聊天	Verb-Object	SPLIT	False	聊天+Lemma+Verb-Object+SPLIT
22	聊天	True		和老朋友见面，聊了一整天。	见面	Verb-Object	WHOLE	False	见面+Lemma+Verb-Object+WHOLE
23	说话	True		请你帮我说两句好话。	说话	Verb-Object	SPLIT	False	说话+Lemma+Verb-Object+SPLIT
24	吵架	True		因为一点小事，他们吵了一架。	吵架	Verb-Object	SPLIT	False	吵架+Lemma+Verb-Object+SPLIT
