sent_id	gold_stem	gold_label	error_type	sentence	lemma	type_tag	shape	head	tail	hfst_analysis	insertion	insertion_tagged	insertion_type	detected_error	confidence_score
1	睡觉	True		昨天晚上我睡了一个好觉。	睡觉	Verb-Object	SPLIT	睡	觉	睡觉+Lemma+Verb-Object+SPLIT+Head:睡+Tail:觉	了ASPECT一NUM个CLF好MOD	了:ASPECT+一:NUM+个:CLF+好:MOD	ASPECT_QUANT		1.0
2	洗澡	True		运动完必须洗个热水澡。	洗澡	Verb-Object	SPLIT	洗	澡	洗澡+Lemma+Verb-Object+SPLIT+Head:洗+Tail:澡	个CLF热MOD水	个:CLF+热:MOD	QUANTIFIER		0.6666666666666666
3	吃饭	True		如果你还没吃完饭，就等一会儿。	吃饭	Verb-Object	SPLIT	吃	饭	吃饭+Lemma+Verb-Object+SPLIT+Head:吃+Tail:饭	完RES	完:RES	RESULTATIVE		1.0
4	刷牙	True		医生建议每天至少刷两分钟牙。	刷牙	Verb-Object	SPLIT	刷	牙	刷牙+Lemma+Verb-Object+SPLIT+Head:刷+Tail:牙	两NUM分TIME钟TIME	两:NUM+分:TIME+钟:TIME	UNKNOWN		1.0
5	洗脸	True		早上匆匆忙忙洗了一把脸就出门了。	洗脸	Verb-Object	SPLIT	洗	脸	洗脸+Lemma+Verb-Object+SPLIT+Head:洗+Tail:脸	了ASPECT一NUM把CLF	了:ASPECT+一:NUM+把:CLF	ASPECT_QUANT		1.0
6	走路	True		我们走了很久的路。	走路	Verb-Object	SPLIT	走	路	走路+Lemma+Verb-Object+SPLIT+Head:走+Tail:路	了ASPECT很MOD久MOD的DE	了:ASPECT+很:MOD+久:MOD+的:DE	ASPECT		1.0
7	跑步	True		他在公园里跑了一会儿步。	跑步	Verb-Object	SPLIT	跑	步	跑步+Lemma+Verb-Object+SPLIT+Head:跑+Tail:步	了ASPECT一NUM会TIME儿TIME	了:ASPECT+一:NUM+会:TIME+儿:TIME	ASPECT		1.0
8	散步	True		晚饭后我们去河边散散步。	散步	Verb-Object	REDUP	散	步	散步+Lemma+Verb-Object+REDUP+Head:散+Tail:步			REDUP_SKIP		1.0
9	上网	True		为了查资料，我上了两个小时网。	上网	Verb-Object	SPLIT	上	网	上网+Lemma+Verb-Object+SPLIT+Head:上+Tail:网	了ASPECT两NUM个CLF小MOD时TIME	了:ASPECT+两:NUM+个:CLF+小:MOD+时:TIME	ASPECT_QUANT		1.0
10	理发	True		过年前要去理一次发。	理发	Verb-Object	SPLIT	理	发	理发+Lemma+Verb-Object+SPLIT+Head:理+Tail:发	一NUM次CLF	一:NUM+次:CLF	QUANTIFIER		1.0
11	搬家	True		这几年北漂搬了三次家。	搬家	Verb-Object	SPLIT	搬	家	搬家+Lemma+Verb-Object+SPLIT+Head:搬+Tail:家	了ASPECT三NUM次CLF	了:ASPECT+三:NUM+次:CLF	ASPECT_QUANT		1.0
12	起床	True		他难受得起不来床。	起床	Verb-Object	SPLIT	起	床	起床+Lemma+Verb-Object+SPLIT+Head:起+Tail:床	不RES来	不:RES	RESULTATIVE		0.5
13	看书	True		他在图书馆安静地看了半天书。	看书	Verb-Object	SPLIT	看	书	看书+Lemma+Verb-Object+SPLIT+Head:看+Tail:书	了ASPECT半NUM天CLF	了:ASPECT+半:NUM+天:CLF	ASPECT_QUANT		1.0
14	写字	True		练习了十年，终于写了一手好字。	写字	Verb-Object	SPLIT	写	字	写字+Lemma+Verb-Object+SPLIT+Head:写+Tail:字	了ASPECT一NUM手CLF好MOD	了:ASPECT+一:NUM+手:CLF+好:MOD	ASPECT_QUANT		1.0
15	开门	True		你快去开一下门。	开门	Verb-Object	SPLIT	开	门	开门+Lemma+Verb-Object+SPLIT+Head:开+Tail:门	一NUM下CLF	一:NUM+下:CLF	QUANTIFIER		1.0
16	敲门	True		他敲了半天门。	敲门	Verb-Object	SPLIT	敲	门	敲门+Lemma+Verb-Object+SPLIT+Head:敲+Tail:门	了ASPECT半NUM天CLF	了:ASPECT+半:NUM+天:CLF	ASPECT_QUANT		1.0
17	关灯	True		记得关了灯再睡。	关灯	Verb-Object	SPLIT	关	灯	关灯+Lemma+Verb-Object+SPLIT+Head:关+Tail:灯	了ASPECT	了:ASPECT	ASPECT		1.0
