Lemma,A,B,Type,Pinyin,English Definition,Notes
睡觉,睡,觉,Verb-Object,shuì jiào,to sleep,typical VO; 睡了一大觉
洗澡,洗,澡,Verb-Object,xǐ zǎo,to take a bath/shower,洗了个热水澡
吃饭,吃,饭,Verb-Object,chī fàn,to eat a meal,吃过饭了吗
刷牙,刷,牙,Verb-Object,shuā yá,to brush teeth,刷两分钟牙
洗脸,洗,脸,Verb-Object,xǐ liǎn,to wash face,洗了一把脸
走路,走,路,Verb-Object,zǒu lù,to walk,走了很远的路
跑步,跑,步,Verb-Object,pǎo bù,to run / jog,跑了一会儿步
散步,散,步,Verb-Object,sàn bù,to take a walk,散散步(AAB)
上网,上,网,Verb-Object,shàng wǎng,to go online,上了两个小时网
理发,理,发,Verb-Object,lǐ fà,to get a haircut,理完发
搬家,搬,家,Verb-Object,bān jiā,to move house,搬过三次家
起床,起,床,Verb-Object,qǐ chuáng,to get up,起不了床
看书,看,书,Verb-Object,kàn shū,to read books,看了几天书
写字,写,字,Verb-Object,xiě zì,to write characters,写了一手好字
开门,开,门,Verb-Object,kāi mén,to open the door,开一下门
关灯,关,灯,Verb-Object,guān dēng,to turn off the light,关了灯再睡
做饭,做,饭,Verb-Object,zuò fàn,to cook,做了顿晚饭
打球,打,球,Verb-Object,dǎ qiú,to play ball,打了一场球
抽烟,抽,烟,Verb-Object,chōu yān,to smoke,抽了一根烟
见面,见,面,Verb-Object,jiàn miàn,to meet,不及物; 见了一面(AAB)
帮忙,帮,忙,Verb-Object,bāng máng,to help,帮了他一个大忙
聊天,聊,天,Verb-Object,liáo tiān,to chat,聊了一整天
说话,说,话,Verb-Object,shuō huà,to speak,说两句好话
吵架,吵,架,Verb-Object,chǎo jià,to quarrel,吵了一架
打架,打,架,Verb-Object,dǎ jià,to fight,打了一架
打仗,打,仗,Verb-Object,dǎ zhàng,to fight a battle,打了一仗
生气,生,气,Verb-Object,shēng qì,to get angry,生他的气
发火,发,火,Verb-Object,fā huǒ,to get furious,发了一通火
道歉,道,歉,Verb-Object,dào qiàn,to apologize,道了一个歉
道谢,道,谢,Verb-Object,dào xiè,to express thanks,道了一声谢
拜年,拜,年,Verb-Object,bài nián,to pay a New Year call,给您拜个年
握手,握,手,Verb-Object,wò shǒu,to shake hands,握了握手(AAB)
鼓掌,鼓,掌,Verb-Object,gǔ zhǎng,to applaud,鼓了鼓掌
捣乱,捣,乱,Verb-Object,dǎo luàn,to make trouble,捣他的乱
开玩笑,开,玩笑,Verb-Object,kāi wán xiào,to joke,开了一个玩笑
谈恋爱,谈,恋爱,Verb-Object,tán liàn ài,to be in love,谈了一场恋爱
撒谎,撒,谎,Verb-Object,sā huǎng,to lie,撒了一个谎
吹牛,吹,牛,Verb-Object,chuī niú,to brag,吹了一次牛
告状,告,状,Verb-Object,gào zhuàng,to lodge a complaint,告了他一状
请客,请,客,Verb-Object,qǐng kè,to treat guests,请了一次客
结婚,结,婚,Verb-Object,jié hūn,to marry,结过一次婚
离婚,离,婚,Verb-Object,lí hūn,to divorce,离了两次婚
订婚,订,婚,Verb-Object,dìng hūn,to get engaged,订完婚
分手,分,手,Verb-Object,fēn shǒu,to break up,分了一次手
吃醋,吃,醋,Verb-Object,chī cù,to be jealous,吃谁的醋
伤心,伤,心,Verb-Object,shāng xīn,to be heartbroken,伤透了心
放心,放,心,Verb-Object,fàng xīn,to rest assured,放一百个心
担心,担,心,Verb-Object,dān xīn,to worry,担了一份心
灰心,灰,心,Verb-Object,huī xīn,to lose heart,灰了心
操心,操,心,Verb-Object,cāo xīn,to worry about,操碎了心
动心,动,心,Verb-Object,dòng xīn,to be tempted,动了凡心
上班,上,班,Verb-Object,shàng bān,to go to work,上了一天班
下班,下,班,Verb-Object,xià bān,to get off work,还没下班
上学,上,学,Verb-Object,shàng xué,to go to school,上了六年学
上课,上,课,Verb-Object,shàng kè,to attend class,上完课
下课,下,课,Verb-Object,xià kè,to finish class,下了课再说
请假,请,假,Verb-Object,qǐng jià,to ask for leave,请了三天假
放假,放,假,Verb-Object,fàng jià,to have a holiday,放了三天假
考试,考,试,Verb-Object,kǎo shì,to take an exam,考了一场试
毕业,毕,业,Verb-Object,bì yè,to graduate,毕了业以后
留学,留,学,Verb-Object,liú xué,to study abroad,留了三年学
报名,报,名,Verb-Object,bào míng,to sign up,报一个名
辞职,辞,职,Verb-Object,cí zhí,to resign,辞了职
开会,开,会,Verb-Object,kāi huì,to hold a meeting,开了一个长会
发言,发,言,Verb-Object,fā yán,to make a speech,发了一次言
值班,值,班,Verb-Object,zhí bān,to be on duty,值了一个夜班
加班,加,班,Verb-Object,jiā bān,to work overtime,加了三个小时班
出差,出,差,Verb-Object,chū chāi,to go on a business trip,出了一趟差
生病,生,病,Verb-Object,shēng bìng,to get sick,生了一场大病
看病,看,病,Verb-Object,kàn bìng,to see a doctor,看个病
住院,住,院,Verb-Object,zhù yuàn,to be hospitalized,住了半个月院
出院,出,院,Verb-Object,chū yuàn,to be discharged,办完出院手续
打针,打,针,Verb-Object,dǎ zhēn,to give/get an injection,打了一针
输液,输,液,Verb-Object,shū yè,to have an IV drip,输了两瓶液
挂号,挂,号,Verb-Object,guà hào,to register,挂了一个专家号
把脉,把,脉,Verb-Object,bǎ mài,to take pulse,把把脉(AAB)
减肥,减,肥,Verb-Object,jiǎn féi,to lose weight,减了十斤肥
鞠躬,鞠,躬,Verb-Object,jū gōng,to bow,鞠了一个躬
敬礼,敬,礼,Verb-Object,jìng lǐ,to salute,敬了一个礼
站岗,站,岗,Verb-Object,zhàn gǎng,to stand guard,站好一班岗
吃苦,吃,苦,Verb-Object,chī kǔ,to bear hardships,吃了不少苦
吃亏,吃,亏,Verb-Object,chī kuī,to suffer losses,吃了个大亏
受罪,受,罪,Verb-Object,shòu zuì,to suffer,受了老大的罪
跳舞,跳,舞,Verb-Object,tiào wǔ,to dance,跳了一支舞
